timestamp,step,epoch,eval_loss,wer,cer,eval_samples_per_second,eval_steps_per_second,eval_runtime
2026-01-22T17:03:42.247827,4,1.0,1.6469135284423828,0.7634146341463415,0.24760553387726145,16.529,2.133,1.8755
2026-01-22T17:03:52.605791,8,2.0,1.6162341833114624,0.7463414634146341,0.20042568286626464,16.738,2.16,1.852
2026-01-22T17:04:02.415014,12,3.0,1.49052894115448,0.6878048780487804,0.1833983682156793,16.682,2.152,1.8583
2026-01-22T17:04:12.286077,16,4.0,1.3781572580337524,0.6414634146341464,0.1653068463994324,17.133,2.211,1.8093
2026-01-22T17:04:22.193071,20,5.0,1.2115968465805054,0.5121951219512195,0.12025540971975877,17.02,2.196,1.8214
2026-01-22T17:04:32.032332,24,6.0,1.090235948562622,0.44878048780487806,0.10287335934728627,17.041,2.199,1.8191
2026-01-22T17:04:42.029428,28,7.0,0.9796289205551147,0.3975609756097561,0.09684285207520398,17.048,2.2,1.8184
2026-01-22T17:04:51.832233,32,8.0,0.875926673412323,0.3804878048780488,0.0837176303653778,16.961,2.189,1.8277
2026-01-22T17:05:01.734020,36,9.0,0.7798388600349426,0.36097560975609755,0.07804185881518269,17.168,2.215,1.8057
2026-01-22T17:05:17.083917,40,10.0,0.6833611726760864,0.32926829268292684,0.07272082298687478,16.846,2.174,1.8402
2026-01-22T17:05:27.814483,44,11.0,0.6164013743400574,0.3146341463414634,0.06881873004611565,16.932,2.185,1.8309
2026-01-22T17:05:56.421121,48,12.0,0.5743386149406433,0.29024390243902437,0.06243348705214615,17.15,2.213,1.8075
2026-01-22T17:06:06.213170,52,13.0,0.5425096750259399,0.25853658536585367,0.05427456544874069,17.235,2.224,1.7987
2026-01-22T17:06:16.574302,56,14.0,0.5176960229873657,0.24390243902439024,0.05179141539553033,17.163,2.215,1.8062
2026-01-22T17:06:26.411260,60,15.0,0.4933793842792511,0.24634146341463414,0.05321035828307911,17.059,2.201,1.8172
2026-01-22T17:06:36.401228,64,16.0,0.47536763548851013,0.24146341463414633,0.05143667967364313,16.876,2.178,1.837
2026-01-22T17:06:46.491188,68,17.0,0.46273571252822876,0.23658536585365852,0.050727208229868745,16.016,2.067,1.9355
2026-01-22T17:06:56.302356,72,18.0,0.4532533288002014,0.23414634146341465,0.050372472507981554,17.215,2.221,1.8007
2026-01-22T17:07:06.449668,76,19.0,0.44564104080200195,0.23170731707317074,0.050372472507981554,16.843,2.173,1.8405
2026-01-22T17:07:16.155393,80,20.0,0.43910884857177734,0.23170731707317074,0.049308265342319975,17.474,2.255,1.774
2026-01-22T17:07:25.884821,84,21.0,0.43192368745803833,0.22926829268292684,0.04895352962043278,17.504,2.259,1.771
2026-01-22T17:07:35.555380,88,22.0,0.4296349287033081,0.23414634146341465,0.049663001064207166,17.405,2.246,1.7811
2026-01-22T17:07:45.189459,92,23.0,0.43146228790283203,0.23902439024390243,0.049308265342319975,17.55,2.265,1.7664
2026-01-22T17:07:54.923874,96,24.0,0.4282647371292114,0.22926829268292684,0.047534586732884,17.494,2.257,1.7721
2026-01-22T17:08:04.685722,100,25.0,0.4269384741783142,0.24634146341463414,0.05179141539553033,17.509,2.259,1.7705
2026-01-22T17:08:14.387235,104,26.0,0.42450323700904846,0.25121951219512195,0.050727208229868745,17.451,2.252,1.7764
2026-01-22T17:08:21.683983,104,26.0,0.43192368745803833,0.22926829268292684,0.04895352962043278,17.166,2.215,1.8059
