timestamp,step,epoch,loss,learning_rate,grad_norm,samples_per_second,steps_per_second
2026-01-22T17:13:37.402917,1,0.25,2.6167,0.0,23.411436080932617,,
2026-01-22T17:13:37.641319,2,0.5,2.6488,2.5000000000000004e-07,20.203426361083984,,
2026-01-22T17:13:37.873870,3,0.75,2.1939,5.000000000000001e-07,18.17273712158203,,
2026-01-22T17:13:38.124576,4,1.0,2.5775,7.5e-07,20.123153686523438,,
2026-01-22T17:13:47.153701,5,1.25,2.8834,1.0000000000000002e-06,20.38558006286621,,
2026-01-22T17:13:47.381656,6,1.5,2.0583,1.25e-06,17.431596755981445,,
2026-01-22T17:13:47.602460,7,1.75,2.6017,1.5e-06,19.719282150268555,,
2026-01-22T17:13:47.840689,8,2.0,2.0846,1.75e-06,19.623003005981445,,
2026-01-22T17:13:56.332069,9,2.25,2.2648,2.0000000000000003e-06,16.51443099975586,,
2026-01-22T17:13:56.561590,10,2.5,2.4521,2.25e-06,18.815025329589844,,
2026-01-22T17:13:56.789169,11,2.75,2.4172,2.5e-06,19.08180046081543,,
2026-01-22T17:13:57.032083,12,3.0,2.2141,2.7500000000000004e-06,17.099777221679688,,
2026-01-22T17:14:05.316913,13,3.25,2.0679,3e-06,17.22254753112793,,
2026-01-22T17:14:05.540107,14,3.5,2.2867,3.2500000000000002e-06,16.036832809448242,,
2026-01-22T17:14:05.777301,15,3.75,2.2125,3.5e-06,14.94066333770752,,
2026-01-22T17:14:06.016427,16,4.0,2.0991,3.7500000000000005e-06,13.966514587402344,,
2026-01-22T17:14:14.451580,17,4.25,2.0744,4.000000000000001e-06,15.12326717376709,,
2026-01-22T17:14:14.684884,18,4.5,2.0104,4.25e-06,13.140389442443848,,
2026-01-22T17:14:14.915579,19,4.75,2.0211,4.5e-06,14.014143943786621,,
2026-01-22T17:14:15.163240,20,5.0,1.8536,4.75e-06,12.488970756530762,,
2026-01-22T17:14:23.654233,21,5.25,1.6856,5e-06,12.048694610595703,,
2026-01-22T17:14:23.885352,22,5.5,1.8303,5.2500000000000006e-06,12.43056869506836,,
2026-01-22T17:14:24.110578,23,5.75,1.9277,5.500000000000001e-06,13.160285949707031,,
2026-01-22T17:14:24.349577,24,6.0,1.8016,5.75e-06,11.55764102935791,,
2026-01-22T17:14:32.636151,25,6.25,1.6731,6e-06,10.506214141845703,,
